#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 05 18 48 999 99.0 99.0  1.31 13.33  6.80 289 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 05 19 18 999 99.0 99.0  1.31 10.53  6.95 275 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 05 19 48 999 99.0 99.0  1.31 12.50  7.08 291 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 05 20 18 999 99.0 99.0  1.46 12.50  7.37 292 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 05 20 48 999 99.0 99.0  1.30 11.11  6.92 281 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 05 21 18 999 99.0 99.0  1.46 11.11  6.94 285 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 05 22 18 999 99.0 99.0  1.31 13.33  6.85 291 9999.0 999.0  16.3 999.0 99.0 99.00
2016 01 05 22 48 999 99.0 99.0  1.41 10.53  6.70 281 9999.0 999.0  16.3 999.0 99.0 99.00
2016 01 05 23 18 999 99.0 99.0  1.46 10.53  6.24 280 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 05 23 48 999 99.0 99.0  1.53 12.50  5.81 287 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 06 00 48 999 99.0 99.0  1.60  9.88  5.76 277 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 06 01 18 999 99.0 99.0  1.61  6.25  5.08 242 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 06 02 18 999 99.0 99.0  1.68  6.67  5.30 244 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 06 02 48 999 99.0 99.0  1.72  5.88  5.30 251 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 06 03 18 999 99.0 99.0  1.95  6.25  5.28 250 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 06 03 48 999 99.0 99.0  1.80  6.25  5.26 257 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 06 04 18 999 99.0 99.0  1.93  6.67  5.46 260 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 06 04 48 999 99.0 99.0  2.07  6.25  5.47 266 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 06 05 18 999 99.0 99.0  1.89  6.67  5.52 268 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 06 06 18 999 99.0 99.0  1.98  6.25  5.59 270 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 06 06 48 999 99.0 99.0  1.93  6.25  5.66 268 9999.0 999.0  16.2 999.0 99.0 99.00
2016 01 06 07 18 999 99.0 99.0  1.95  6.25  5.72 268 9999.0 999.0  16.1 999.0 99.0 99.00
2016 01 06 07 48 999 99.0 99.0  1.89  6.25  5.61 273 9999.0 999.0  16.1 999.0 99.0 99.00
2016 01 06 08 18 999 99.0 99.0  1.94  6.67  5.61 261 9999.0 999.0  16.1 999.0 99.0 99.00
2016 01 06 08 48 999 99.0 99.0  2.07  6.67  5.75 267 9999.0 999.0  16.3 999.0 99.0 99.00
2016 01 06 09 18 999 99.0 99.0  2.08  6.25  5.77 264 9999.0 999.0  16.3 999.0 99.0 99.00
2016 01 06 10 18 999 99.0 99.0  1.98  7.14  5.88 270 9999.0 999.0  16.3 999.0 99.0 99.00
2016 01 06 10 48 999 99.0 99.0  1.78  6.67  5.76 275 9999.0 999.0  16.3 999.0 99.0 99.00
2016 01 06 11 18 999 99.0 99.0  1.74  6.67  5.91 273 9999.0 999.0  16.3 999.0 99.0 99.00
2016 01 06 11 48 999 99.0 99.0  1.94  6.67  5.98 273 9999.0 999.0  16.3 999.0 99.0 99.00
2016 01 06 12 48 999 99.0 99.0  2.06  7.14  6.32 278 9999.0 999.0  16.3 999.0 99.0 99.00
2016 01 06 13 18 999 99.0 99.0  1.88  6.67  6.12 282 9999.0 999.0  16.3 999.0 99.0 99.00
2016 01 06 14 18 999 99.0 99.0  1.90  7.69  6.11 284 9999.0 999.0  16.3 999.0 99.0 99.00
2016 01 06 14 48 999 99.0 99.0  1.95  7.14  6.31 285 9999.0 999.0  16.3 999.0 99.0 99.00
2016 01 06 15 18 999 99.0 99.0  1.91  6.67  6.36 287 9999.0 999.0  16.3 999.0 99.0 99.00
2016 01 06 15 48 999 99.0 99.0  1.85  7.14  6.46 280 9999.0 999.0  16.3 999.0 99.0 99.00
2016 01 06 16 48 999 99.0 99.0  1.84  7.14  6.61 282 9999.0 999.0  16.3 999.0 99.0 99.00
